Previous failed sample list file detected, remove it
QC file for go28915_ngs_rna_wts_rnaaccess_EA_100ce2ecda_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b540ea9c21_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_46d0df8fca_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_f50cdf3b37_20170525 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_4c5e2cc921_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d5748da039_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_315c5e432a_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_3f93ecc626_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_21afb03371_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_44debdb806_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d836fe2625_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_467f797b6f_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a4bacddcb5_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_44c14d6642_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_7f0ed483dd_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d8e8a39ad4_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_753724ec66_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c90c72d336_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_24a047b9ce_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_585d813503_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a1059deb80_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8b682741ca_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_dfd11f5d9c_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_df7ba5cd1d_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d1b6fb4598_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_437edb53d1_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8de6ace1fe_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_42a49716db_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_756f9ad8cd_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_59aa67b29e_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0b137c8555_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_4ed095dc40_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_699c86eb81_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0a32b10266_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1d1dae5757_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_3afd5a8b64_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b6c75e5e91_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_bd961dc182_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c77ce3d8a5_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5d8709ab8d_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_13605d0f04_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a7e7af40fe_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_e445e5b98e_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_727bae315b_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_46b3788293_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_756f4394a0_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d22ebe7c7f_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_18bada65c8_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_809d453920_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b8e45bbb80_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_6948166f75_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_6c35cca71f_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b801b7182b_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_6e30ed024c_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_fa7acf78a5_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5cbdba0157_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_7bed3ce5a0_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1f98fc9c45_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_203d4f95fa_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ff7aa4957c_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b163abbb35_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_37a40c2034_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8e9b5dd23f_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_186555bd08_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c8f530a487_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_fdd080d56a_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d0d681c15e_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_832e01df62_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_43562af289_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_567fa82c1b_20170525 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ffe004da1c_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_532141db56_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_6c620c9474_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d438b2d355_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_848c2ef6fc_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_211e4bf400_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ea47f20418_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2dbae42e09_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ac7669b1c9_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1e2b90f1b7_20170525 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5d82b0301f_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5c8296207f_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d102e7d148_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_60126bd66e_20170519 has been detected, skip this sample
WARNING: fastp uses up to 16 threads although you specified 20
Read1 before filtering:
total reads: 52069881
total bases: 2655563931
Q20 bases: 2573797495(96.9209%)
Q30 bases: 2482607177(93.487%)

Read2 before filtering:
total reads: 52069881
total bases: 2655563931
Q20 bases: 2503034481(94.2562%)
Q30 bases: 2382875360(89.7314%)

Read1 after filtering:
total reads: 51572096
total bases: 2628482789
Q20 bases: 2551068188(97.0548%)
Q30 bases: 2462418391(93.6821%)

Read2 after filtering:
total reads: 51572096
total bases: 2628482789
Q20 bases: 2495923486(94.9568%)
Q30 bases: 2377618720(90.4559%)

Filtering result:
reads passed filter: 103144192
reads failed due to low quality: 974742
reads failed due to too many N: 20828
reads failed due to too short: 0
reads with adapter trimmed: 326286
bases trimmed due to adapters: 3400186

Duplication rate: 36.5223%

Insert size peak (evaluated by paired-end reads): 71

JSON report: /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_fastp.json
HTML report: /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_fastp.html

/home/circrna/miniconda3/bin/fastp -i /home/data/EGA/OAK/raw/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_1.fastq.gz -I /home/data/EGA/OAK/raw/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_2.fastq.gz -o /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_1.fastq.gz -O /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_2.fastq.gz -j /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_fastp.json -h /home/data/IO_RNA/EGA_OAK/fq/go28915_ngs_rna_wts_rnaaccess_EA_486b56bcf8_20170517_fastp.html -w 20 
fastp v0.23.4, time used: 134 seconds
QC file for go28915_ngs_rna_wts_rnaaccess_EA_195a03dda5_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8a153937dd_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0f8bd46cdd_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_862a997bc9_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1d5156213b_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_df4dd25737_20170525 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_57da89657c_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_f3a6d7fd6f_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_3d57c755d9_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_222acf82e0_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_f7d4c4712c_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_7fc2421b5f_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_66b093e7f2_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_4d9cf3d1f2_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_abe406c1de_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_df3ea91b04_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c301512e66_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_52721a6beb_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5ad56c4ce6_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c880c8c06f_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_e0c92eecd3_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2b309823f7_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_919d86ea3a_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ef264e1ea6_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2252a1d357_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0f1576c475_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a0bb0a7c59_20170530 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1e46058ae9_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8364b312ee_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_022952077d_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1231fc077b_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d21fdecb18_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_48a03cbf77_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c4dd048b35_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_eba6b7475e_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5acaed8523_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_30103435d3_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_cc9a64d129_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_63ddec6c3b_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_82ae9d2d9e_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0bf7465f3b_20170525 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a4e123b69e_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a298cf43d8_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_f2b7c893ac_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b40e660b2c_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b9c6b2a514_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2f86e5f81f_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_94c670cf1e_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0f0e652a51_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d3919f1abe_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0110347bf1_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_69bb9a23f8_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_7ed91a19ad_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d5d337b227_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_b481ead925_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_9a2a734cbf_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_e3cfaf8036_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2ef09896f2_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_fde78bb036_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_dc95d4320d_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_43a4700311_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_716ea00377_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_a497ba27db_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_8fc1983dbd_20170522 has been detected, skip this sample

  /// MultiQC 🔍 | v1.14

|           multiqc | MultiQC Version v1.16 now available!
|           multiqc | Search path : /home/data/IO_RNA/EGA_OAK/fq
|         searching | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 2817/2817  
|             fastp | Found 699 reports
|           multiqc | Compressing plot data
|           multiqc | Deleting    : ../../../../data/IO_RNA/EGA_OAK/fq/multiqc_report.html   (-f was specified)
|           multiqc | Deleting    : ../../../../data/IO_RNA/EGA_OAK/fq/multiqc_data   (-f was specified)
|           multiqc | Report      : ../../../../data/IO_RNA/EGA_OAK/fq/multiqc_report.html
|           multiqc | Data        : ../../../../data/IO_RNA/EGA_OAK/fq/multiqc_data
|           multiqc | MultiQC complete
|           multiqc | 5 flat-image plots used in the report due to large sample numbers
|           multiqc | To force interactive plots, use the '--interactive' flag. 
See the documentation.
